,title,date,tags,summary
0, Whale Hunter's Payday,"Wednesday, August 21, 2024","REKT,Phishing","When phishing for whales, sometimes you land a big one. A crypto whale found themselves $55.47 million lighter after falling victim to a sophisticated phishing attack targeting their Maker vault."
1, Hedging Bets,"Monday, August 12, 2024","Polymarket,Uma Protocol,Betting Markets","Amid a pivotal Venezuelan election, Polymarket bets sparked debate on prediction markets' role and potential impact in politics. When does a prediction market cease to reflect reality and start to shape it?"
2, Ronin Network - Rekt II,"Wednesday, August 7, 2024","Ronin,REKT","The Ronin Network bridge was exploited for roughly $12 million, due to a critical oversight in a contract upgrade. For the Axie Infinity community and Ronin Network users, the words ""bridge exploit"" likely trigger PTSD."
3, Astroport - Rekt,"Wednesday, July 31, 2024","Astroport,Rekt","A DEX on the Terra network, @astroport_fi, fell victim to a hack resulting in losses of roughly $6.4 million. The attack exploited a vulnerability that was known and patched in April, only to be accidentally reintroduced in a June upgrade."
4, Thanks Squarespace,"Wednesday, July 31, 2024","Squarespace,Rekt","Squarespace's security lapse led to widespread crypto domain hijackings, exposing Web3 vulnerabilities tied to Web2 infrastructure. The incident highlights the crypto industry's security challenges & reliance on centralized systems it aims to replace."
5, The Humpy Dance,"Tuesday, July 30, 2024","governance,compound finance","A whale’s raid on Compound Finance. On July 28th, Compound Finance found itself in the crosshairs of a daring governance proposal, with critics crying foul play. Playing a high-stakes game of DeFi chess and this is not Humpy’s first dance and it won’t be his last."
6, The Creeping Line,"Thursday, July 25, 2024","AI,deepfake","Journey into the gripping world of The Creeping Line, where the relentless pursuit of AI advancement erodes the line between human & machine. When identities and experiences become commodities in a digital bazaar of fabricated realities, is this the price of progress?"
7, ETHTrustFund - Rekt,"Monday, July 22, 2024","ETHTrustFund,REKT","Another day, another rug pull. This time on Coinbase's pet project Base Network. ETHTrustFund rug pulls on Base, leading to $2.1 million in investor losses."
8, Rho Market - Rekt,"Friday, July 19, 2024","Rho Market,REKT,Dedaub","An oracle's misconfiguration turns into a $7.5 million windfall for an alert MEV bot. What began as a simple misstep in Rho Market's oracle configuration turned into a payday for an opportunistic MEV bot on July 19th, as it swiftly seized upon the opening within the protocol built on Scroll."
9, WazirX - Rekt,"Thursday, July 18, 2024","WazirX Protocol,REKT","India's leading crypto exchange, WazirX took a massive $235 million hit when it's Safe multisig wallet crumbled under a devastating breach. How many times do we need to be reminded of not your keys, not your crypto?"
10, LiFi/Jumper - Rekt,"Tuesday, July 16, 2024","LiFi Protocol,Jumper Exchange,REKT",Infinite approvals... the ultimate leap of faith strikes again. LiFi protocol lost $9.73M to an attack draining addresses that had previously approved infinite permissions to the protocol's contracts across multiple chains.
11, Take the Money and Run,"Saturday, July 13, 2024","Scams,Ponzi","In the glittering world of crypto, MetaMax promised the moon. But as the dust settled, all that remained was a crater of empty wallets. This isn't just another rug pull. It's a symphony of deception, conducted by alleged AI-generated executives and scored with Hollywood polish."
12, Crypto's Achilles' Heel,"Thursday, July 11, 2024","Scams,Phishing","In the realm of crypto, where digital fortresses guard virtual fortunes, the most dangerous threat isn't always a line of faulty code, it's the person behind the keyboard."
13, Bittensor - Rekt,"Wednesday, July 3, 2024","Bittensor,Rekt","On July 2, Bittensor's blockchain enlightenment was rudely interrupted by a $8 million hack, due to a compromised PyPi Package Manager. As validators meditated on their nodes, an attacker silently drained their wallets faster than you can say ""om."""
14, From White Hat to Gray Area,"Saturday, June 29, 2024","Certik,Audits","Crypto security firm CertiK has been stirring up a hornet's nest lately. The dust hasn’t even settled around the controversy surrounding the recent Kraken exploit and already new allegations are swirling. From accusations of front-running bug bounties to performing superficial audits, CertiK's reputation is being put under the microscope by security researchers."
15, Vulture Culture,"Friday, June 21, 2024","Scams,Defi","Crypto is a minefield, where triumph and disaster teeter precariously on a razor's edge. It appears that the allure of celebrity-minted meme coins has us ensnared in a never-ending loop of déjà vu. History continues to repeat itself like a sad, tired sitcom rerun."
16, Certik/Kraken - Rekt,"Thursday, June 20, 2024","Certik,Kraken,REKT",Kraken accuses security researchers of extortion after $3M bug bounty exploit. Certik's disclosure of a critical vulnerability in Kraken's systems has escalated into accusations of extortion and threats between the parties
17, Pharma Bro's Trump Card,"Thursday, June 20, 2024","Trump,Scams,Shkreli","The crypto world has been sent into a frenzy over the controversial DJT token, a Solana-based meme coin rumored to be linked to former President Donald Trump and his family. At the center of this storm is Martin Shkreli, the infamous ""Pharma Bro"" known for his previous legal troubles and brash persona."
18, Uwulend - Rekt,"Monday, June 10, 2024","Uwulend,REKT","The velo in Velocore proved too fast and furious, as the L2 DEX lost over $6.8 million in a devastating exploit on June 2nd across its pools on Linea and zkSync."
19, Velocore - Rekt,"Monday, June 3, 2024","Velocore,REKT","The velo in Velocore proved too fast and furious, as the L2 DEX lost over $6.8 million in a devastating exploit on June 2nd across its pools on Linea and zkSync."
20, DMM Bitcoin - Rekt,"Friday, May 31, 2024","DMM Bitcoin,REKT","Centralized Japanese crypto exchange DMM Bitcoin exploited for more than $304 million in Bitcoin. What could go down as one of the biggest heists in our industry, became another prime example of not your keys, not your crypto."
21, Meme Mania,"Wednesday, May 29, 2024","defi,shitcoin","Fueled by unquenchable greed and feverish FOMO, degens are being lured into crypto's volatile wild west of meme coins, where mind-boggling gains and soul-crushing losses are always just one trade away."
22, Gala Games - Rekt,"Tuesday, May 21, 2024","Gala Games,REKT","Possible hacker seized control of an admin address to mint a whopping 5 billion GALA tokens worth $216 million, rapidly offloading 592 million tokens for $21.8 million in ETH before Gala Games could blacklist the rogue address."
23, AlexLab - Rekt,"Friday, May 17, 2024","AlexLab,REKT","AlexLab, the self-proclaimed finance layer on Bitcoin, had a few layers stripped, as a compromised private key led to a $4.3 million exploit on AlexLab’s XLink bridge on the BNB network."
24, Sonne Finance - Rekt,"Thursday, May 16, 2024","Sonne Finance,REKT","The alarm has been rung on Sonne Finance, as a $20 million flash loan attack reverberates across the crypto sphere, chiming a somber melody that warns of the perils lurking in the DeFi shadows."
25, Crypto Under Siege,"Wednesday, May 15, 2024","SEC,Regulation","The recent assault on crypto has some fighting back, but some are running scared too. As the crypto market expands, U.S. agencies like the SEC, DOJ, and Treasury are cracking down on the industry with a regulations blitz, setting their sights on major crypto players."
26, Gamestonk II - Dumb Money is Back,"Tuesday, May 14, 2024","wall st,Rekt","GameStop meme frenzy went supernova once again, leaving a $1 billion trail of crater-faced short sellers in its wake."
27, Pike Finance - Rekt,"Friday, May 3, 2024","Pike Finance,REKT","Pike Finance swims in turbulent waters, storage vulnerability nets hackers over $1.9 million in multiple attacks."
28, Growing Pains,"Wednesday, May 1, 2024","Solana,defi",Solana's relentless pursuit of speed and scalability has transformed the blockchain landscape. But at what cost?
29, ZKasino - Rekt,"Monday, April 22, 2024","ZKasino,REKT,Rugpull","The house always wins and ZKasino hit the jackpot, making off with a $33 million rug over the weekend."
30, Hedgey Finance - Rekt,"Friday, April 19, 2024","Hedgey Finance,REKT",Not a good strategy to hedge your bets. Hedgey Finance rocked by $44.7 million flash loan attack across both the Arbitrum and Ethereum platforms.
31, A Stable Future,"Wednesday, April 17, 2024","stable future,defi","What would the world look like if stablecoins were the norm, and blockchain technology was woven into our daily lives?"
32, Grand Base - REKT,"Monday, April 15, 2024","Grand Base,REKT",Thieves in the night take advantage of Open House as RWA protocol on Base leaves the front door unlocked. Grand Base slammed in $2m exploit due to a deployer wallet private key leak.
33, PrismaFi - REKT,"Thursday, March 28, 2024","PrismaFi,REKT","PrismaFi fell victim to a flash loan attack, resulting in a loss of 3258 wstETH tokens, valued at approximately $11.6 million."
34, Munchables - REKT,"Wednesday, March 27, 2024","Munchables,REKT",The Blast L2 Big Bang award-winning project Munchables was exploited for $62.5M by a rogue dev. Funds retrieved from dev within a few hours in a rollercoaster ride of a day.
35, Curio - REKT,"Tuesday, March 26, 2024","Curio,REKT","Curio's MakerDAO-based smart contract on Ethereum was exploited for $16 million, due to a critical vulnerability involving voting power privileges."
36, Super Sushi Samurai - REKT,"Friday, March 22, 2024","Super Sushi Samurai,REKT","Blast L2-based game Super Sushi Samurai's LP drained $4.8m in contract bug exploit shortly after its launch, and the price dropped 99.9%."
37, Slerf - Rekt,"Tuesday, March 19, 2024","Slerf,Rekt",Solana Meme Coin SLERF turns into a hot mess after dev's $10M fumble.
38, Sushi - Something Smells Fishy,"Thursday, March 14, 2024","Sushi,Governance","Once seen as one of the darlings of Defi among Uniswap, Curve and Aave. SushiSwap showed a lot of promise, but that promise has been overshadowed by drama, which can be relentless at times. If we could have a leader board of Defi trainwrecks, surely Sushiswap would make the list."
39, Unizen - Rekt,"Tuesday, March 12, 2024","Unizen,REKT","March 8th, $2.1M was stolen in multiple attacks on the ETH-based DEX shortly after a contract upgrade to their DEX aggregation contract."
40, Woofi - Rekt,"Wednesday, March 6, 2024","Woofi,REKT","WooFi  got taken for a $8.5 Million ride on March 5th, after a flash loan attack on Arbitrum."
41, Seneca Protocol - REKT,"Thursday, February 29, 2024","Seneca Protocol,REKT","Over $6.4 million was stolen from users wallets on February 28, thanks to the bad tao of Seneca. Roughly 80% of the funds were returned within a day. Clearly Seneca knew there were issues, but chose the reckless route."
42, Aave - Communication Breakdown,"Monday, February 26, 2024","Aave,Governance",Governance is a theater. Dramatic walkouts from liquidity experts and risk managers alike serve as stark reminders of the complexities and challenges of decentralized governance.
43, Abracadabra - REKT,"Wednesday, January 31, 2024","Abracadabra,MIM,REKT",On-chain black magic led to two of Abracadabra’s cauldrons springing a leak yesterday. $6.5M gone and MIM losing its magic... What dark arts are needed for a full repeg?
44, Socket - REKT,"Wednesday, January 17, 2024","Socket,Bungee,Bridge,REKT",Infinite approvals… the ultimate leap of faith. Socket’s Bungee bridge lost $3.3M yesterday. Have you checked your approvals lately?
45, Gensler's Grand Gaffe,"Wednesday, January 10, 2024","SEC,Regulation","A fitting regulator for our circus of an industry. Yesterday, the SEC’s official Twitter account was compromised, announcing the approval of Bitcoin ETFs. Will the SEC investigate itself?"
46, Gamma Strategies - REKT,"Thursday, January 4, 2024","Gamma Strategies,Arbitrum,REKT","Gamma Strategies, an Arbitrum-based concentrated liquidity management protocol, was exploited for at least $4.5M, earlier today. Recently we wondered, ""Can we do better this year?"". So far, it’s not looking good."
47, Orbit Bridge - REKT,"Wednesday, January 3, 2024","Orbit Bridge,Bridge,REKT",It wasn’t just fireworks blowing up on New Year’s Eve... Orbit Chain’s Ethereum bridge lost $81.5M. What will 2024 bring?
48, Radiant Capital - REKT,"Wednesday, January 3, 2024","Radiant Capital,Fork,REKT","2024 is off to a bright start... Lending protool Radiant Capital lost $4.5M, to a known bug. Keeping up with the security landscape is key, especially when dealing with forked code."
49, Levana Protocol - REKT,"Friday, December 29, 2023","Levana Protocol,Osmosis,REKT","Gradually, then all at once. Levana Protocol lost over $1.1M to an oracle manipulation attack lasting almost two weeks. But if it hadn’t been for congestion, would they have even noticed?"
50, Money for nothing?,"Thursday, December 28, 2023","MEV,Uniswap,REKT",The cost of doing business? 98%. $1.3M was lost yesterday when a Uniswap V3 whale LP made a costly fat-finger error. Who deserves the spoils?
51, Ape Season Returns,"Thursday, December 21, 2023","Ape Szn,Ledger,Thirdweb","The apes are out of their cages once more, but familiar dangers are ever-present. Each innovation spawns new ways to get rekt but, despite the risks, opportunity certainly is out there."
52, Hypr Network - REKT,"Thursday, December 14, 2023","Hypr Network,Bridge,REKT","What is this, a bridge hack for ants? Yesterday, Hypr Network lost $220k to a bridge exploit. Forking code can be risky, especially when devs aren't up to date with issues in the source."
53, OKX DEX - REKT,"Wednesday, December 13, 2023","OKX,REKT","CeDeFi strikes again. OKX’s DEX aggregator has fallen victim to one of the oldest tricks in the book, losing $2.7M to a private key compromise. If the compromised contract was deprecated, why did they wait until it got rekt?"
54, Plenty of Phish,"Wednesday, December 6, 2023","Phishing,Scams","The tide may be turning, but crypto’s waters remain as treacherous as ever. Our latest phishing roundup covers the latest tackle and the most tempting lures. Will you take the bait?"
55, KyberSwap - REKT,"Thursday, November 23, 2023","KyberSwap,REKT","OG decentralised exchange KyberSwap got rekt across six chains, for a total loss of over $48M. Perhaps there’s some good news in store for KyberSwap and LPs, or is the attacker just toying with us?"
56," HECO Bridge, HTX - REKT","Wednesday, November 22, 2023","HECO Bridge,HTX,REKT","It's been a rough few weeks for Justin Sun. Today, another $99M went missing as HECO Bridge and HTX (again) were hacked in short succession. His Excellency makes sure to never stay out of the spotlight for long…"
57, Kronos Research - REKT,"Tuesday, November 21, 2023","Kronos Research,Woo X,REKT","Deja-vu, anyone? Market maker Kronos Research lost $26M over the weekend, leading to liquidity issues on closely-associated CEX Woo X. Where have we heard that before?"
58, dYdX - REKT,"Monday, November 20, 2023","dYdX,YFI,REKT","Weekend wipeout. dYdX lost 40% of its v3's insurance fund ($9M) in a ‘targeted attack' involving manipulation of Yearn’s YFI token. One exploit, two losers."
59, Raft - REKT,"Sunday, November 12, 2023","Raft,REKT","Raft was raided by on-chain pirates for $3.3M on Friday, but the loot ended up falling overboard. When braving DeFi's stormy seas, we all must choose our vessel. Would you trust a Raft?"
60, Poloniex - REKT,"Friday, November 10, 2023","Poloniex,Justin Sun,CEX,REKT",Nothing like a nine-figure exchange hack to cool the pump-induced euphoria. Poloniex had its hot wallets drained of $126M today. How deep do Justin Sun's pockets go?
61, RIP MEV Bot 2,"Thursday, November 9, 2023","MEV Bot,REKT","The sandwicher has become the sandwiched. $2M was lost on Tuesday night as an MEV bot got a taste of its own medicine. Is this a simple case of ‘you win some, you lose some’?"
62, Onyx Protocol - REKT,"Thursday, November 2, 2023","Onyx Protocol,Fork,REKT","Compound fork Onyx Protocol lost $2.1M to a high-profile, well-known vulnerability on Tuesday. Many protocols have fallen victim to repeated vulnerabilities so far this year. Are devs paying attention?"
63, LastPass Users - REKT,"Tuesday, October 31, 2023","LastPass,REKT","Your keys, their coins. Since December 2022, a slow-burn wallet draining campaign has been underway, totalling over $37M so far. The thefts appear to be linked to LastPass which suffered two hacks last year. Who do you trust with your seed phrase, anon?"
64, Unibot - REKT,"Tuesday, October 31, 2023","Unibot,Trading bot,REKT",Unibot's brand new router was exploited to drain at least $640k from users who had approved the contract. Sacrificing security for convenience can lead to costly lessons on trust. Will we ever learn?
65, Nightmare on FTM Street,"Wednesday, October 18, 2023","FTM,Phishing,REKT","Halloween came early this year for the Fantom Foundation. $7.5M was drained from multiple associated addresses, though the Foundation states that only $550k of the losses were theirs. When did DeFi become ‘trust, don’t verify’?"
66, Platypus Finance - REKT 2,"Friday, October 13, 2023","Platypus Finance,Avalanche,REKT","After three exploits in 8 months, Platypus is beginning to look like an endangered species. A flashloan attack has drained the Avalanche-based protocol of $2.2M. It’s been a rough week for Avalanche."
67, Tangible - REKT,"Friday, October 13, 2023","Tangible,UDSR,RWA,REKT","Tangible’s RWA experiment has got out of hand. And USDR is slipping through their fingers. A protocol won’t weather the storm if it isn’t built on sturdy foundations. Have you checked yours, anon?"
68," Lucky Star Currency, FSL - REKT","Wednesday, October 11, 2023","Lucky Star Currency,FSL,BSC,REKT","While SBF's trial occupies the attention of the crypto hivemind, it's business as usual on BSC. $2.79M has been rugged already this week across two shitcoin projects. Who’s still apeing into this stuff?"
69, Stars Arena - REKT,"Monday, October 9, 2023","Stars Arena,Avalanche,REKT","In the arena, breaking things. A double-whammy led to Stars Arena being drained of almost $3M on Saturday. Ever heard the phrase ‘stop digging’?"
70, Bulls Behind Bars,"Wednesday, October 4, 2023","SBF,3AC,Do Kwon",SBF is on trial and Su Zhu has been arrested in Singapore. Couple more arrests then up only? Washing out the apex-grifters presents an opportunity to return to crypto’s original ethos. Will we use it?
71, HTX (Huobi) - REKT,"Tuesday, September 26, 2023","HTX,Huobi,CEX,REKT","Yesterday, Justin Sun announced a $7.9M hack on HTX (formerly Huobi). Will this drop in the ocean turn out to be a simple case of ‘4’? Or are there bigger things to come?"
72, Mixin Network - REKT,"Monday, September 25, 2023","Mixin Network,REKT","What a way to start the week. This morning, Mixin Network announced a loss of $200M. The project claims to be “decentralised”, but has blamed the losses on a hacked third-party database. Where's the accountability?"
73, Gone Phishing,"Friday, September 22, 2023","Phishing,Scams",Phishing is a year-round sport. But crypto is providing especially bountiful waters lately. You’d have thought those of us still around would know better by now… What lurks in the murky depths?
74, Remitano - REKT,"Friday, September 15, 2023","Remitano,CEX,REKT","Another exchange drained, is Lazarus going for a September hat-trick? Remitano's hot wallets were hit for $2.7M, yesterday. But quickly frozen USDT ensured profits were vastly reduced. Are we… learning?"
75, CoinEx - REKT,"Wednesday, September 13, 2023","CoinEx,CEX,REKT","rekt across thirteen chains. Is that a new record? CoinEx has become the latest crypto custodian to have its hot wallets emptied, losing an eventual total of $54.3M. How long until the next CEX is hit?"
76, Cat and Mouse,"Friday, September 8, 2023","Privacy,Regulation,Tornado Cash","Privacy is dying, but all hope is not lost. The tug of war between crypto-enabled privacy and regulatory oversight has been on-going for years. Are Privacy Pools the answer?"
77, Stake - REKT,"Monday, September 4, 2023","Stake,Casino,REKT","They say the house always wins. Not in crypto. On-chain casino Stake lost over $41M from its hot wallets today. But why the delay, and omissions, in official comms?"
78, Balancer - REKT,"Saturday, September 2, 2023","Balancer,Beethoven X,REKT","Balancer has had a bit of a wobble. First came a warning. Then, last Sunday, the AMM (along with ‘official partner’ Beethoven X) lost $2.1M from v2 Boosted pools."
79, Exactly Protocol - REKT,"Friday, August 18, 2023","Exactly Protocol,Optimism,REKT",L2s have been going through something of a rekt-naissance lately. Exactly Protocol got hit for $7.2M by an exploit which drained users' collateral. Will Exactly ever financially recover from this?
80, Shibarium Bridge - REKT,"Thursday, August 17, 2023","Shibarium,Bridge,REKT",The Shibarium devs are in the doghouse. A botched launch of Shiba Inu’s ETH L2 sees a total of $2.6M of user funds stuck in a faulty bridge. Memecoins are evolving... but why?
81, RocketSwap - REKT,"Tuesday, August 15, 2023","RocketSwap,Base,REKT","RocketSwap has lost $869k to compromised private keys, allegedly stolen in a bruteforce attack on the project’s server. We are very sorry for your loss."
82, Zunami Protocol - REKT,"Monday, August 14, 2023","Zunami Protocol,REKT","The Curve ecosystem can't catch a break... Yesterday, Zunami Protocol lost $2.1M to a price manipulation attack. Keeping DeFi safe is a constant game of cat-and-mouse, one that can’t always be won."
83, Steadefi - REKT,"Tuesday, August 8, 2023","Steadefi,REKT",Steady lads. Steadefi lost $1.14M to a compromised deployer address on Monday. The attacker drained lending contracts after transferring their ownership. Phishing or an inside job?
84, BALD on Base - REKT,"Wednesday, August 2, 2023","BALD,Base,Rugpull,REKT","Coinbase’s compliant and grown-up L2 is already a shitshow. BALD pulled the rug for $23M, and the deployer has some interesting connections... YOLO-mania is in full force while DeFi burns."
85," Curve, Vyper - REKT","Monday, July 31, 2023","Curve,Vyper,REKT",Multiple protocols bit by the Vyper. Curve Finance returns to the leaderboard with a total of $69M drained from four pools. Some funds have been returned with hopefully more to come. Will this wake-up call be enough to trigger a change?
86, Kannagi Finance - REKT,"Sunday, July 30, 2023","Kannagi Finance,zksync,Rugpull,REKT","Kannagi Finance, a yield aggregator on zkSync pulled the rug on Saturday, dropping TVL from $2.1M to $0.17. The auditors may have highlighted 'centralised aspects' but, in this industry, who reads the fine print?"
87, DeFiLabs - REKT,"Friday, July 28, 2023","DeFiLabs,Rugpull,BSC,REKT","Yesterday, DeFiLabs rugged $1.6M from its users on BSC via a backdoor function in their staking contract. Random projects rugging on BSC is nothing new. The shitcoin casino claims another set of victims."
88, AlphaPo - REKT,"Wednesday, July 26, 2023","AlphaPo,REKT","AlphaPo lost $60M and it barely raises an eyebrow… Stories of compromised hot wallets leave little to be said. But one thing’s for sure, Lazarus isn’t getting bored."
89, EraLend - REKT,"Wednesday, July 26, 2023","EraLend,zksync,REKT",One more added to the list. EraLend lost $3.4M to the rampant read-only reentrancy bug plaguing protocols across the cryptosphere. Comments are not effective reentrancy protection.
90, Conic Finance - REKT,"Tuesday, July 25, 2023","Conic Finance,REKT","Lightning does strike twice. Conic Finance got double-rekt on Friday, losing a total of $4.2M from their ETH and crvUSD omnipools. Will such a promising protocol survive this double blow?"
91, Multichain - R3KT,"Friday, July 14, 2023","Multichain,Fantom,R3KT","So the rumours were true. At least according to Multichain. CEO Zhaojun has been in custody in China since May 21st, and he held all the keys. Multichain’s recent troubles have turned Fantom into a ghost town…"
92, Arkham Asylum,"Wednesday, July 12, 2023","Arkham Intelligence,Privacy","Intel exchange or snitch-to-earn? Arkham Intelligence’s address-doxxing market throws open the gates of the asylum, letting loose all kinds of unknown threats..."
93, Multichain - REKT 2,"Friday, July 7, 2023","Multichain,Bridge,REKT",Multi-rekt. Multichain was drained yesterday for a total of $126M of Fantom and Moonriver backing. The project has quite the record… How many more victims will lose out to these ‘experiments’?
94, Poly Network - REKT 2,"Monday, July 3, 2023","Poly Network,Bridge,REKT","Poly Network is back. Almost two years after topping the leaderboard, this time the hacker got away with just $4.4M. How many more bridges will get rekt because of a handful of compromised keys?"
95, TradFi Takeover,"Friday, June 23, 2023","TradFi,SEC,Regulation","The vultures are circling. 2021’s bull market saw crypto gain mainstream attention, turning old money from sceptics into scavengers. Now, with crypto vulnerable, instinct tells them to strike."
96, Midas Capital - REKT 2,"Monday, June 19, 2023","Midas Capital,BSC,REKT","Midas can’t keep hold of their gold. On Saturday they lost $600k to a known vulnerability, again. Weaknesses, once discovered, instantly propagate through the ecosystem… When will they learn?"
97, Atomic Wallet - REKT,"Friday, June 16, 2023","Atomic Wallet,Lazarus Group,REKT","Atomic Wallet blew up earlier this month. Even after two weeks, no official root cause has been announced, and the team's past attitude to security raises concerns. Will they ever admit what went wrong? Do they even know?"
98, Atlantis Loans - REKT,"Tuesday, June 13, 2023","Atlantis Loans,BSC,REKT","The lost city sunk long ago. Now, former users have been drained, for a total of $1M. Atlantis Loans was abandoned by the developers in early April, but was subject to a governance attack on Saturday."
99, Sturdy Finance - REKT,"Monday, June 12, 2023","Sturdy Finance,REKT","Not so Sturdy, after all. Sturdy Finance has lost $800k to a price manipulation exploit made possible by a well-known read-only reentrancy vulnerability. Why is this issue still causing problems?"
100, Grudgematch - SEC vs The CEXs,"Friday, June 9, 2023","Regulation,SEC,Binance,Coinbase","Gary Gensler has come out swinging. On Monday, the SEC levelled charges at Binance and CZ. The following day, it was Coinbase’s turn. This time, the gloves are off, but the stakes are higher than ever."
101, Jimbo's Protocol - REKT,"Monday, May 29, 2023","Jimbo's Protocol,Arbitrum,REKT","Jimbo’s Protocol was hit with a flash loan attack in the early hours of Sunday, losing $7.5M. The team have sent the attacker an ultimatum. But for now, Jimbo is stuck in limbo."
102, Tornado Cash Governance - REKT,"Monday, May 22, 2023","Tornado Cash,Governance,REKT",Cypherpunks strive to become ungovernable... but not like this. Tornado Cash's governance has been taken hostage via a trojan horse proposal. But now the hacker is proposing reversing the effects of their exploit. Hopefully this all turns out to be just a storm in a teacup.
103, Swaprum - REKT,"Saturday, May 20, 2023","Swaprum,Arbitrum,Rugpull,REKT","Swaprum, an Arbitrum-based DEX, pulled the rug for $3M on Thursday. Certik, the project's auditor, has since updated Swaprum’s security score to “Exit Scam”. Too little, too late?"
104, Recover - Ledger's Latest L,"Tuesday, May 16, 2023","Ledger,Wallet","Ledger’s new firmware update has the crypto crowd in crisis. The announcement of the new Recover service has many asking questions about the capabilities of the devices, which run on closed-source code. Trust me bro."
105, Deus DAO - R3KT,"Saturday, May 6, 2023","Deus DAO,R3KT",It’s a hat trick for Deus DAO.  Token holders lost a total of ~$6.5M and DEI depegged by over 80%. How many times can a thrice-hacked protocol be trusted?
106, Level Finance - REKT,"Tuesday, May 2, 2023","Level Finance,BSC,REKT","Level Finance got levelled. $1.1M in referral rewards were robbed from the BSC-based perps platform yesterday. The attack was initially attempted over a week ago, but it seems nobody noticed. Could a warning have saved Level?"
107, Merlin DEX - REKT,"Thursday, April 27, 2023","Merlin,zksync,Rugpull,REKT",$1.8M disappeared in a puff of smoke as Merlin pulled the classic DeFi magic trick. The zksync-native DEX had just completed its audit with Certik. How can such an easily ruggable protocol be green-lit? Or are users also to blame?
108, Hundred Finance - REKT 2,"Tuesday, April 18, 2023","Hundred Finance,REKT","On April 15th, Hundred Finance suffered a $7.4M exploit on Optimism. This is the protocol's first solo article, after having shared the stage with both Agave DAO and Meter. With Hundred’s leaderboard total now standing at $16.9M… what was it this time?"
109, Yearn - REKT 2,"Thursday, April 13, 2023","Yearn,REKT","rekt in prod… eventually. Over two years since its first leaderboard entry, Yearn has lost over $10M from an original iearn finance contract. As we wrote last time, no protocol is too big to fail. Who will be next?"
110, SushiSwap - REKT,"Monday, April 10, 2023","SushiSwap,REKT",Yoink. Over $3.3M was stolen from SushiSwap users over the weekend via a new routing contract. This is a bad look for an already-embattled protocol. How many more scandals can Sushi take?
